,Response
Node000,-2.2201500148134174
Node001,0.11275434831644146
Node002,-0.9127357373475316
Node003,0.722639969598686
Node004,-1.815754853802811
Node005,-0.6906111965659275
Node006,0.42887837430770215
Node007,1.2193269816358858
Node008,0.9018543551775349
Node009,1.4861911710548346
Node010,1.3940402134393541
Node011,0.6851392604517074
Node012,-1.0544080190724263
Node013,0.525042646146837
Node014,0.048413008917698765
Node015,-2.7119746391317334
Node016,0.013271723546360983
Node017,-0.09012662867263857
Node018,1.0161617406083492
Node019,0.4798975221841614
Node020,0.5983234311668036
Node021,0.9689125056817082
Node022,-1.6246155036620151
Node023,0.17259644822909512
Node024,-0.4976994945436749
Node025,0.816753246471262
Node026,0.00530122627919366
Node027,0.6620567412300566
Node028,-0.6316525658407542
Node029,1.9828765057520454
Node030,1.3882832908477825
Node031,1.6616579355864174
Node032,-0.28474146807261197
Node033,1.0656333114941217
Node034,-0.8237656465660689
Node035,-0.6154139485449311
Node036,1.410030940199407
Node037,-0.6653920159463543
Node038,-0.6230397116477556
Node039,-0.005467776969197257
Node040,-1.250186147818702
Node041,-0.9883689530564467
Node042,-0.39320909114111136
Node043,-0.6882355167047457
Node044,0.12677543644714115
Node045,0.3429599202143758
Node046,-0.3889397705571478
Node047,-1.06027659300895
Node048,-0.9363900392794157
Node049,0.9265726176992007
Node050,0.10984662679656304
Node051,-0.6225419321917789
Node052,1.1463141263909398
Node053,-0.4488964183356486
Node054,-1.515826454497121
Node055,-0.7023608477173093
Node056,-1.757654360596644
Node057,-0.3232651470721847
Node058,0.13739464714696475
Node059,-0.934510970559465
Node060,-0.6856323419634849
Node061,-1.8176404799133883
Node062,0.566941202576148
Node063,0.45135979303126916
Node064,-0.7218794019611142
Node065,-0.09294315243350168
Node066,-0.9867122314821687
Node067,-0.7863476626151441
Node068,0.00605055164558393
Node069,0.6064365998710339
Node070,0.7873500732924235
Node071,1.7557756738175923
Node072,0.8637009087466021
Node073,-0.13113301759847248
Node074,-0.49436824498044296
Node075,-0.20341717089285308
Node076,-2.1558532853443806
Node077,0.8156583968338097
Node078,-0.7832691341857063
Node079,0.249048404929133
Node080,-0.12831238961104746
Node081,-0.35653410057605883
Node082,-0.18068031992477035
Node083,-0.1350698220951635
Node084,1.7574031194429254
Node085,-1.043066727614369
Node086,-0.7426593816592684
Node087,0.32346785920457904
Node088,-0.2845902122260033
Node089,0.4439588748167719
Node090,-0.5306469661836217
Node091,-0.4863728016368466
Node092,1.0219746361743705
Node093,-0.33652812933024195
Node094,-1.2079602750261105
Node095,0.36173653158052493
Node096,-0.48028343275299
Node097,-2.0347559629665675
Node098,-0.5307608220601446
Node099,-1.0730400410860037
Node100,-1.002193668747855
Node101,0.5443031986612479
Node102,0.4707952280500765
Node103,0.20569589842699523
Node104,-0.2753654015226193
Node105,1.2201167998997704
Node106,-1.2247480508139832
Node107,-2.4830394263994275
Node108,0.8334682148131975
Node109,-0.6417952379987913
Node110,1.1149784197868609
Node111,-1.1924648275481715
Node112,-1.1582287864055578
Node113,0.5528803536128584
Node114,-0.3208960005726746
Node115,-0.4931251839864857
Node116,0.6368507408758399
Node117,-1.2038550978261147
Node118,-0.36106097799322656
Node119,-0.1984092015108217
Node120,0.8346805522671973
Node121,-1.5395400938507915
Node122,-2.265251455291434
Node123,2.1663493862702294
Node124,1.6932343126621667
Node125,1.6901237825414686
Node126,0.7116775304275854
Node127,-1.121117737338066
Node128,-0.3612055957091836
Node129,0.679696662148422
Node130,-0.2390927937492348
Node131,1.3489722329360188
Node132,-0.24163439506531204
Node133,1.1782819873562766
Node134,0.24927775142011255
Node135,-0.5487849989314245
Node136,-0.5136637792887898
Node137,-0.060548942680656935
Node138,-2.111161465357435
Node139,-0.6899181046543957
Node140,0.4085773108036677
Node141,0.2667071730118128
Node142,-1.0488995806561372
Node143,-0.18970177459380597
Node144,-0.02745990004886885
Node145,-0.09551869746596572
Node146,1.1227364853811805
Node147,-1.1520034448136676
Node148,1.3189769278238352
Node149,-0.005447603920637254
Node150,0.39235234813560804
Node151,-0.423005633839274
Node152,-0.7783375738824682
Node153,-0.35949977168254554
Node154,-1.46079947539219
Node155,1.7440433342413257
Node156,-0.6650646671717513
Node157,0.4641519146499194
Node158,-0.2990783044603166
Node159,0.7546059409003922
Node160,-0.11571991738425641
Node161,-0.07339307895013136
Node162,-0.8972888147337617
Node163,-0.34949002116459305
Node164,-0.1873531024307977
Node165,0.0158946553716682
Node166,2.760119836335379
Node167,0.7383292583572171
Node168,-0.4034891131978791
Node169,-0.12270631783488112
Node170,0.0485913516933104
Node171,0.6161033604135098
Node172,-0.36838935048932103
Node173,-0.575225298839843
Node174,-1.2490601783837294
Node175,-0.1600449883018715
Node176,-1.9767446923835035
Node177,-0.6882148486085667
Node178,-0.27495572721739886
Node179,-1.1308281815516865
Node180,1.3208262572690104
Node181,1.462078040821255
Node182,0.6960689957500341
Node183,-0.8112576488701835
Node184,1.682480110741254
Node185,0.8586079576584835
Node186,-1.427342152770396
Node187,-1.9344431892547038
Node188,1.281634481559357
Node189,-0.6436358209867309
Node190,-1.5984917171031063
Node191,-0.41841940121351595
Node192,-0.9382057227752302
Node193,-1.2823733306329697
Node194,-1.4188059670835829
Node195,0.7931809924731428
Node196,0.633249369624299
Node197,-0.5512117081727317
Node198,-0.8706006403216205
Node199,-0.3202939959836086
